Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,Scanner,scanner
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDController,controller,SDController,controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,close,close
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,toString,to:string
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,equals,equals
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,getPropertyName,get:property:name
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,getNewValue,get:new:value
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDAppView,view,SDAppView,view,propertyChange,property:change,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,isGivenSafe,is:given:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,size,size
default.SDUTIL,none,SDUTIL,none,isGivenSafe,is:given:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,isGivenSafe,is:given:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,isGivenSafe,is:given:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Boolean,none,java.lang.Boolean,none,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.ArrayList,array:list,java.util.ArrayList,array:list,ArrayList,array:list
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.ArrayList,array:list,java.util.ArrayList,array:list,ArrayList,array:list
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,size,size
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,generateSafeDistancesAndDurations,generate:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,add,add
default.SDUTIL,none,SDUTIL,none,toString,to:string,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,size,size
default.SDUTIL,none,SDUTIL,none,toString,to:string,PropertyChangeListener:EventListener,property:change:listener:event:listener,$(,none,(,none,toString,to:string
default.SDUTIL,none,SDUTIL,none,toString,to:string,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,toString,to:string,PropertyChangeListener:EventListener,property:change:listener:event:listener,$(,none,(,none,toString,to:string
default.SDUTIL,none,SDUTIL,none,toString,to:string,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,printSafeDistancesAndDurations,print:safe:distances:and,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,isDerivedSafe,is:derived:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,size,size
default.SDUTIL,none,SDUTIL,none,isDerivedSafe,is:derived:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,isDerivedSafe,is:derived:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.util.List,list,java.util.List,list,get,get
default.SDUTIL,none,SDUTIL,none,isInferredSafe,is:inferred:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,gradingTools.comp524f20.assignment1.WekaUtil,weka:util,gradingTools.comp524f20.assignment1.WekaUtil,weka:util,predictString,predict:string
default.SDUTIL,none,SDUTIL,none,isInferredSafe,is:inferred:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,String,string,java.lang.String,string,equals,equals
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,Boolean,none,java.lang.Boolean,none,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,printGeneratedCombination,print:generated:combination,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombination,print:generated:combination,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombination,print:generated:combination,PropertyChangeListener:EventListener,property:change:listener:event:listener,Math,math,java.lang.Math,math,random,random
default.SDUTIL,none,SDUTIL,none,printGeneratedCombination,print:generated:combination,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombination,print:generated:combination,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombination,print:generated:combination,PropertyChangeListener:EventListener,property:change:listener:event:listener,Integer,integer,java.lang.Integer,integer,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombination,print:generated:combination,PropertyChangeListener:EventListener,property:change:listener:event:listener,Boolean,none,java.lang.Boolean,none,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombination,print:generated:combination,PropertyChangeListener:EventListener,property:change:listener:event:listener,Boolean,none,java.lang.Boolean,none,toString,to:string
default.SDUTIL,none,SDUTIL,none,printGeneratedCombination,print:generated:combination,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.SDUTIL,none,SDUTIL,none,compareSafetyComputations,compare:safety:computations,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
default.RunF20A1_Tests,run:a:tests,RunF20A1_Tests,run:a:tests,main,main,PropertyChangeListener:EventListener,property:change:listener:event:listener,gradingTools.comp524f20.assignment1.F20Assignment1Suite,assignment:suite,gradingTools.comp524f20.assignment1.F20Assignment1Suite,assignment:suite,main,main
default.AppModelBasic,model:basic,AppModelBasic,model:basic,isSafe,is:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
default.ClassifierFactory,factory,ClassifierFactory,factory,getSingleton,get:singleton,PropertyChangeListener:EventListener,property:change:listener:event:listener,weka.classifiers.trees.J48,none,weka.classifiers.trees.J48,none,J48,none
default.ClassifierFactory,factory,ClassifierFactory,factory,getSingleton,get:singleton,PropertyChangeListener:EventListener,property:change:listener:event:listener,gradingTools.comp524f20.assignment1.WekaUtil,weka:util,gradingTools.comp524f20.assignment1.WekaUtil,weka:util,buildTreeModel,build:tree:model
default.AppModelInterpolation,model:interpolation,AppModelInterpolation,model:interpolation,isSafe,is:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
default.AppModelAbstract,model:abstract,AppModelAbstract,model:abstract,getExhalation,get:exhalation,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,PropertyChangeSupport,property:change:support
default.AppModelAbstract,model:abstract,AppModelAbstract,model:abstract,addPropertyChangeListener,add:property:change:listener,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,addPropertyChangeListener,add:property:change:listener
default.AppModelAbstract,model:abstract,AppModelAbstract,model:abstract,setInteraction,set:interaction,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
default.AppModelAbstract,model:abstract,AppModelAbstract,model:abstract,setInteraction,set:interaction,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
default.AppModelAbstract,model:abstract,AppModelAbstract,model:abstract,setInteraction,set:interaction,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
default.AppModelInferred,model:inferred,AppModelInferred,model:inferred,isSafe,is:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
default.AppModelDerived,model:derived,AppModelDerived,model:derived,isSafe,is:safe,PropertyChangeListener:EventListener,property:change:listener:event:listener,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
